equipmentId,timestamp,value
EQUIP_21,2023-01-01 17:00:00,134
EQUIP_3,2023-01-01 03:00:00,886
EQUIP_3,2023-01-01 08:00:00,362
EQUIP_17,2023-01-01 05:00:00,119
EQUIP_20,2023-01-01 20:00:00,277
EQUIP_36,2023-01-01 10:00:00,186
EQUIP_7,2023-01-01 23:00:00,638
EQUIP_7,2023-01-01 06:00:00,33
EQUIP_39,2023-01-01 21:00:00,900
EQUIP_28,2023-01-01 03:00:00,865
EQUIP_33,2023-01-01 18:00:00,345
EQUIP_1,2023-01-01 10:00:00,599
EQUIP_16,2023-01-01 07:00:00,926
EQUIP_36,2023-01-01 14:00:00,255
EQUIP_30,2023-01-01 02:00:00,962
EQUIP_25,2023-01-01 00:00:00,109
EQUIP_11,2023-01-01 19:00:00,833
EQUIP_21,2023-01-01 16:00:00,16
EQUIP_33,2023-01-01 22:00:00,187
EQUIP_29,2023-01-01 15:00:00,5
EQUIP_5,2023-01-01 23:00:00,854
EQUIP_2,2023-01-01 00:00:00,420
EQUIP_30,2023-01-01 00:00:00,140
EQUIP_16,2023-01-01 06:00:00,978
EQUIP_26,2023-01-01 11:00:00,74
EQUIP_10,2023-01-01 22:00:00,231
EQUIP_38,2023-01-01 19:00:00,563
EQUIP_22,2023-01-01 18:00:00,865
EQUIP_35,2023-01-01 18:00:00,689
EQUIP_39,2023-01-01 22:00:00,183
EQUIP_7,2023-01-01 22:00:00,467
EQUIP_26,2023-01-01 07:00:00,257
EQUIP_14,2023-01-01 16:00:00,667
EQUIP_28,2023-01-01 06:00:00,519
EQUIP_21,2023-01-01 20:00:00,359
EQUIP_35,2023-01-01 15:00:00,981
EQUIP_2,2023-01-01 09:00:00,535
EQUIP_40,2023-01-01 23:00:00,319
EQUIP_27,2023-01-01 10:00:00,74
EQUIP_12,2023-01-01 04:00:00,238
EQUIP_15,2023-01-01 22:00:00,948
EQUIP_22,2023-01-01 16:00:00,572
EQUIP_38,2023-01-01 23:00:00,663
EQUIP_33,2023-01-01 01:00:00,472
EQUIP_24,2023-01-01 11:00:00,926
EQUIP_9,2023-01-01 02:00:00,353
EQUIP_12,2023-01-01 21:00:00,179
EQUIP_8,2023-01-01 16:00:00,547
EQUIP_22,2023-01-01 23:00:00,91
EQUIP_38,2023-01-01 14:00:00,604
EQUIP_22,2023-01-01 10:00:00,152
EQUIP_10,2023-01-01 15:00:00,155
EQUIP_8,2023-01-01 07:00:00,432
EQUIP_28,2023-01-01 00:00:00,270
EQUIP_13,2023-01-01 22:00:00,79
EQUIP_28,2023-01-01 03:00:00,439
EQUIP_26,2023-01-01 00:00:00,421
EQUIP_36,2023-01-01 09:00:00,553
EQUIP_12,2023-01-01 09:00:00,177
EQUIP_18,2023-01-01 19:00:00,966
EQUIP_23,2023-01-01 06:00:00,936
EQUIP_39,2023-01-01 22:00:00,801
EQUIP_25,2023-01-01 16:00:00,542
EQUIP_15,2023-01-01 23:00:00,604
EQUIP_38,2023-01-01 23:00:00,840
EQUIP_9,2023-01-01 09:00:00,537
EQUIP_32,2023-01-01 04:00:00,124
EQUIP_31,2023-01-01 08:00:00,395
EQUIP_8,2023-01-01 23:00:00,451
EQUIP_18,2023-01-01 08:00:00,736
EQUIP_11,2023-01-01 03:00:00,91
EQUIP_1,2023-01-01 08:00:00,287
EQUIP_22,2023-01-01 17:00:00,894
EQUIP_37,2023-01-01 03:00:00,182
EQUIP_39,2023-01-01 18:00:00,839
EQUIP_30,2023-01-01 14:00:00,217
EQUIP_39,2023-01-01 15:00:00,425
EQUIP_28,2023-01-01 02:00:00,92
EQUIP_13,2023-01-01 14:00:00,152
EQUIP_14,2023-01-01 10:00:00,652
EQUIP_30,2023-01-01 05:00:00,451
EQUIP_26,2023-01-01 07:00:00,313
EQUIP_37,2023-01-01 11:00:00,856
EQUIP_2,2023-01-01 05:00:00,602
EQUIP_15,2023-01-01 03:00:00,734
EQUIP_14,2023-01-01 10:00:00,436
EQUIP_6,2023-01-01 23:00:00,349
EQUIP_19,2023-01-01 18:00:00,446
EQUIP_10,2023-01-01 16:00:00,818
EQUIP_34,2023-01-01 21:00:00,197
EQUIP_21,2023-01-01 02:00:00,292
EQUIP_9,2023-01-01 18:00:00,703
EQUIP_16,2023-01-01 05:00:00,458
EQUIP_1,2023-01-01 23:00:00,170
EQUIP_28,2023-01-01 04:00:00,859
EQUIP_37,2023-01-01 23:00:00,990
EQUIP_33,2023-01-01 08:00:00,687
EQUIP_30,2023-01-01 17:00:00,87
EQUIP_17,2023-01-01 06:00:00,301
EQUIP_32,2023-01-01 18:00:00,269
EQUIP_36,2023-01-01 06:00:00,573
EQUIP_24,2023-01-01 12:00:00,296
EQUIP_40,2023-01-01 17:00:00,467
EQUIP_30,2023-01-01 11:00:00,999
EQUIP_19,2023-01-01 06:00:00,490
EQUIP_36,2023-01-01 08:00:00,974
EQUIP_21,2023-01-01 09:00:00,822
EQUIP_9,2023-01-01 12:00:00,212
EQUIP_11,2023-01-01 23:00:00,435
EQUIP_4,2023-01-01 11:00:00,844
EQUIP_4,2023-01-01 18:00:00,949
EQUIP_7,2023-01-01 02:00:00,50
EQUIP_12,2023-01-01 19:00:00,385
EQUIP_13,2023-01-01 21:00:00,453
EQUIP_26,2023-01-01 20:00:00,342
EQUIP_20,2023-01-01 22:00:00,642
EQUIP_31,2023-01-01 20:00:00,1
EQUIP_18,2023-01-01 15:00:00,225
EQUIP_1,2023-01-01 06:00:00,386
EQUIP_12,2023-01-01 20:00:00,562
EQUIP_32,2023-01-01 03:00:00,13
EQUIP_18,2023-01-01 14:00:00,206
EQUIP_22,2023-01-01 05:00:00,492
EQUIP_16,2023-01-01 02:00:00,288
EQUIP_19,2023-01-01 10:00:00,586
EQUIP_25,2023-01-01 08:00:00,172
EQUIP_39,2023-01-01 02:00:00,535
EQUIP_29,2023-01-01 06:00:00,557
EQUIP_40,2023-01-01 10:00:00,449
EQUIP_23,2023-01-01 10:00:00,134
EQUIP_23,2023-01-01 20:00:00,771
EQUIP_36,2023-01-01 13:00:00,924
EQUIP_36,2023-01-01 06:00:00,93
EQUIP_6,2023-01-01 15:00:00,573
EQUIP_14,2023-01-01 17:00:00,844
EQUIP_35,2023-01-01 02:00:00,285
EQUIP_10,2023-01-01 08:00:00,635
EQUIP_9,2023-01-01 02:00:00,776
EQUIP_27,2023-01-01 01:00:00,840
EQUIP_8,2023-01-01 00:00:00,162
EQUIP_34,2023-01-01 19:00:00,255
EQUIP_40,2023-01-01 11:00:00,364
EQUIP_32,2023-01-01 14:00:00,488
EQUIP_12,2023-01-01 17:00:00,890
EQUIP_18,2023-01-01 01:00:00,103
EQUIP_27,2023-01-01 02:00:00,1
EQUIP_3,2023-01-01 18:00:00,38
EQUIP_14,2023-01-01 08:00:00,342
EQUIP_24,2023-01-01 03:00:00,779
EQUIP_11,2023-01-01 14:00:00,495
EQUIP_37,2023-01-01 21:00:00,880
EQUIP_29,2023-01-01 08:00:00,657
EQUIP_27,2023-01-01 16:00:00,299
EQUIP_24,2023-01-01 19:00:00,975
EQUIP_37,2023-01-01 16:00:00,617
EQUIP_23,2023-01-01 12:00:00,100
EQUIP_11,2023-01-01 08:00:00,93
EQUIP_31,2023-01-01 18:00:00,371
EQUIP_32,2023-01-01 01:00:00,429
EQUIP_40,2023-01-01 06:00:00,545
EQUIP_19,2023-01-01 19:00:00,511
EQUIP_20,2023-01-01 17:00:00,480
EQUIP_5,2023-01-01 06:00:00,134
EQUIP_35,2023-01-01 03:00:00,415
EQUIP_9,2023-01-01 21:00:00,817
EQUIP_35,2023-01-01 22:00:00,341
EQUIP_17,2023-01-01 03:00:00,171
EQUIP_3,2023-01-01 08:00:00,373
EQUIP_15,2023-01-01 16:00:00,125
EQUIP_19,2023-01-01 22:00:00,191
EQUIP_18,2023-01-01 12:00:00,99
EQUIP_35,2023-01-01 01:00:00,510
EQUIP_20,2023-01-01 10:00:00,497
EQUIP_23,2023-01-01 04:00:00,488
EQUIP_10,2023-01-01 08:00:00,619
EQUIP_3,2023-01-01 10:00:00,450
EQUIP_11,2023-01-01 20:00:00,611
EQUIP_16,2023-01-01 17:00:00,712
EQUIP_40,2023-01-01 10:00:00,2
EQUIP_17,2023-01-01 13:00:00,389
EQUIP_10,2023-01-01 09:00:00,483
EQUIP_7,2023-01-01 12:00:00,710
EQUIP_13,2023-01-01 17:00:00,135
EQUIP_9,2023-01-01 11:00:00,33
EQUIP_6,2023-01-01 07:00:00,229
EQUIP_9,2023-01-01 17:00:00,647
EQUIP_33,2023-01-01 09:00:00,893
EQUIP_10,2023-01-01 18:00:00,901
EQUIP_30,2023-01-01 06:00:00,86
EQUIP_34,2023-01-01 14:00:00,483
EQUIP_2,2023-01-01 04:00:00,950
EQUIP_36,2023-01-01 01:00:00,503
EQUIP_32,2023-01-01 06:00:00,608
EQUIP_25,2023-01-01 13:00:00,329
EQUIP_8,2023-01-01 01:00:00,290
EQUIP_29,2023-01-01 17:00:00,833
EQUIP_15,2023-01-01 13:00:00,359
EQUIP_28,2023-01-01 18:00:00,228
EQUIP_3,2023-01-01 08:00:00,715
EQUIP_18,2023-01-01 12:00:00,101
